Chip Run Info,G:\drma_data\Fluidigm_BioMark_data\CheeseAssayValidation_Triplicates\ChipRun.bml,Combined Chip Run,192.24 (169x),GE 192x24 PCR+Melt v2,ROX,EvaGreen,13.03.2020 12:44:40,00:51:27,GDC172-31-6-71,SamplePlateName: Undefined/Undefined,SamplePlateBarCode: Undefined/Undefined,ReagentPlateName: NA,ReagentPlateBarCode: NA
S037-A13,Lactobacillus sakei DSM 20017 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S038-A13,Leuconostoc mesenteroides DSM 20484 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S039-A13,Pediococcus pentosaceus DSM 20280 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S042-A13,Std_24 (10^3 c/ul) (1),Standard,1000,Lbbrevi_g2037-3,Test,26.0953778340625,211.063817572598,0,Flag,0.05,999,999,0
S041-A13,Clostridium sporogenes DSM 795 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S040-A13,Leuconostoc carnosum DSM 5576 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S049-A13,Clostridium tyrobutyricum FAM 22550 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S050-A13,Enterococcus faecium FAM 1711 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S051-A13,Lactobacillus coryniformis DSM 20001 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S054-A13,Lactobacillus plantarum ATCC 8014 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S053-A13,Lactobacillus parabuchneri FAM 21823 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S052-A13,Lactobacillus fermentum DSM 20052 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S061-A13,Lactococcus lactis subsp. cremoris DSM 20069 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S062-A13,Leuconostoc mesenteroides DSM 20343 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S063-A13,Propionibacterium freudenreichii DSM 20271 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S066-A13,0 Mock Fail,Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,82.3825297677521,999,1
S065-A13,Lactobacillus buchneri DSM 20057 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S064-A13,Leuconostoc lactis DSM 20202 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S073-A13,Enterococcus durans DSM 20633 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S074-A13,Enterococcus faecium FAM 19316 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S075-A13,Lactobacillus coryniformis DSM 20004 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S078-A13,Lactobacillus plantarum FAM 18858 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S077-A13,Lactobacillus paracasei DSM 5622 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S076-A13,Lactobacillus fermentum FAM 11660 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S085-A13,Lactococcus lactis subsp. cremoris FAM 17873 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S086-A13,Leuconostoc mesenteroides DSM 20241 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S087-A13,Propionibacterium freudenreichii FAM 15217.1 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S090-A13,1 Mock 10^5,Unknown,1,Lbbrevi_g2037-3,Test,20.4255107296957,9112.58986053429,0.83,Pass,0.05,81.2497646317482,999,1
S089-A13,Clostridium beijerinckii DSM 791 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S088-A13,Leuconostoc pseudomesenteroides DSM 20193 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S100-A13,Lactobacillus fermentum FAM 20347 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S101-A13,Lactobacillus paracasei FAM 18133.2 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S102-A13,Lactobacillus rhamnosus DSM 20021 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S099-A13,Lactobacillus curvatus DSM 20019 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S098-A13,Lactobacillus brevis DSM 20054 (1),Unknown,1,Lbbrevi_g2037-3,Test,16.7479283939711,104780.737745333,0.9,Pass,0.05,81.0659167993938,999,1
S097-A13,Enterococcus durans FAM 19822 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S112-A13,Pediococcus stilesii DSM 18001 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S113-A13,Std_24 (10^8 c/ul) (1) ,Standard,100000000,Lbbrevi_g2037-3,Test,6.5641352602337,90647596.7711444,0.9,Pass,0.05,81.1634264685267,999,1
S114-A13,2 Mock 10^4,Unknown,1,Lbbrevi_g2037-3,Test,23.5322695605767,1157.79469953472,0.91,Pass,0.05,81.2480688219538,999,1
S111-A13,Propionibacterium freudenreichii FAM 15346 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S110-A13,Pediococcus acidilactici DSM 20284 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S109-A13,Lactococcus lactis subsp. cremoris FAM 23216 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S124-A13,Lactobacillus helveticus DSM 20075 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S125-A13,Lactobacillus paracasei FAM 19331 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S126-A13,Lactobacillus rhamnosus FAM 19984 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S123-A13,Lactobacillus curvatus FAM 18731 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S122-A13,Lactobacillus brevis CCUG 33268 (1),Unknown,1,Lbbrevi_g2037-3,Test,13.9571317479462,668599.560862483,0.86,Pass,0.05,81.1796392336715,999,1
S121-A13,Enterococcus durans FAM 22256 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S136-A13,Streptococcus salivarius DSM 20560 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S137-A13,Std_24 (10^7 c/ul) (1),Standard,10000000,Lbbrevi_g2037-3,Test,9.85078528915296,10220312.8268325,0.94,Pass,0.05,81.177827760764,999,1
S138-A13,3 Mock 10^3,Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S135-A13,Streptococcus thermophilus DSM 20617 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S134-A13,Pediococcus acidilactici FAM 13881 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S133-A13,Lactococcus lactis subsp. lactis ATCC 19435 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S148-A13,Lactobacillus helveticus FAM 13019 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S149-A13,Lactobacillus paraplantarum DSM 10667 (1),Unknown,1,Lbbrevi_g2037-3,Test,26.7875467123624,133.286941184748,0,Flag,0.05,999,999,0
S150-A13,Lactobacillus rhamnosus FAM 22674 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S147-A13,Lactobacillus curvatus FAM 18867 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S146-A13,Lactobacillus brevis CCUG 48612 (1),Unknown,1,Lbbrevi_g2037-3,Test,14.1165831429197,601421.882742014,0.86,Pass,0.05,81.3240619634425,999,1
S145-A13,Enterococcus faecalis ATCC 19433 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S160-A13,Acidipropionibacterium acidipropionici DSM 4900 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S161-A13,Std_24 (10^6 c/ul) (1),Standard,1000000,Lbbrevi_g2037-3,Test,13.4184002711379,956180.516170006,0.94,Pass,0.05,81.2682144593231,999,1
S162-A13,4 Mock 10^2,Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S159-A13,Streptococcus thermophilus FAM 10792 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S158-A13,Pediococcus acidilactici FAM 19158 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S157-A13,Lactococcus lactis subsp. lactis FAM 17950 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S172-A13,Lactobacillus helveticus FAM 19190 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S173-A13,Lactobacillus paraplantarum DSM 10641 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S174-A13,Lactobacillus sakei FAM 14960 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S171-A13,Lactobacillus delbrueckii DSM 20081 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S170-A13,Lactobacillus casei ATCC 393 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S169-A13,Enterococcus faecalis FAM 22123 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S184-A13,Acidipropionibacterium jensenii DSM 20535 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S185-A13,Std_24 (10^5 c/ul) (1),Standard,100000,Lbbrevi_g2037-3,Test,16.9296160647645,92871.2943529362,0.91,Pass,0.05,81.6370774006668,999,1
S186-A13,NTC (TE) (1),NTC,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S183-A13,Streptococcus thermophilus FAM 21476 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S182-A13,Pediococcus pentosaceus DSM 20336 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S181-A13,Lactococcus lactis subsp. lactis FAM 23201 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S012-A13,Lactobacillus paraplantarum FAM 18197 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S011-A13,Lactobacillus parabuchneri DSM 5707 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S010-A13,Lactobacillus delbrueckii DSM 20074 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S007-A13,Clostridium tyrobutyricum DSM 2637 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S008-A13,Enterococcus faecalis DSM 20376 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S009-A13,Lactobacillus casei FAM 20446 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S024-A13,Std_24 (10^4 c/ul) (2),Standard,10000,Lbbrevi_g2037-3,Test,20.4378931787421,9037.96472389242,0.91,Pass,0.05,80.8783940105391,999,1
S023-A13,Acidipropionibacterium thoenii DSM 20276 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S022-A13,Clostridium butyricum DSM 10702 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S019-A13,Lactobacillus sakei DSM 15831 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S020-A13,Leuconostoc mesenteroides DSM 20346 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S021-A13,Pediococcus pentosaceus DSM 20333 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S036-A13,Lactobacillus plantarum DSM 20174 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S035-A13,Lactobacillus parabuchneri FAM 21731 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S034-A13,Lactobacillus delbrueckii DSM 20072 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S031-A13,Clostridium tyrobutyricum FAM 1550 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S032-A13,Enterococcus faecium DSM 20477 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S033-A13,Lactobacillus coryniformis FAM 20761 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S048-A13,Std_24 (10^3 c/ul) (2),Standard,1000,Lbbrevi_g2037-3,Test,23.5792983514606,1122.19449915397,0.96,Pass,0.05,80.7449316177849,999,1
S047-A13,Clostridium sporogenes DSM 795 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S046-A13,Leuconostoc carnosum DSM 5576 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S043-A13,Lactobacillus sakei DSM 20017 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S044-A13,Leuconostoc mesenteroides DSM 20484 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S045-A13,Pediococcus pentosaceus DSM 20280 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S060-A13,Lactobacillus plantarum ATCC 8014 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S059-A13,Lactobacillus parabuchneri FAM 21823 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S058-A13,Lactobacillus fermentum DSM 20052 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S055-A13,Clostridium tyrobutyricum FAM 22550 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S056-A13,Enterococcus faecium FAM 1711 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S057-A13,Lactobacillus coryniformis DSM 20001 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S072-A13,5 Mock 10^4 (preamp),Unknown,1,Lbbrevi_g2037-3,Test,15.5778413834548,227899.022543683,0.9,Pass,0.05,81.5937943580204,999,1
S071-A13,Lactobacillus buchneri DSM 20057 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S070-A13,Leuconostoc lactis DSM 20202 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S067-A13,Lactococcus lactis subsp. cremoris DSM 20069 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S068-A13,Leuconostoc mesenteroides DSM 20343 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S069-A13,Propionibacterium freudenreichii DSM 20271 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S084-A13,Lactobacillus plantarum FAM 18858 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S083-A13,Lactobacillus paracasei DSM 5622 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S082-A13,Lactobacillus fermentum FAM 11660 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S079-A13,Enterococcus durans DSM 20633 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S080-A13,Enterococcus faecium FAM 19316 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S081-A13,Lactobacillus coryniformis DSM 20004 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S096-A13,6 Mock 10^3 (preamp),Unknown,1,Lbbrevi_g2037-3,Test,18.723444089125,28218.203375915,0.87,Pass,0.05,81.402020660342,999,1
S095-A13,Clostridium beijerinckii DSM 791 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S094-A13,Leuconostoc pseudomesenteroides DSM 20193 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S091-A13,Lactococcus lactis subsp. cremoris FAM 17873 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S092-A13,Leuconostoc mesenteroides DSM 20241 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S093-A13,Propionibacterium freudenreichii FAM 15217.1 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S105-A13,Lactobacillus curvatus DSM 20019 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S104-A13,Lactobacillus brevis DSM 20054 (2),Unknown,1,Lbbrevi_g2037-3,Test,15.3235325527824,269827.897842889,0.76,Pass,0.05,80.8925098005633,68.763393227341,0.899483381959947
S103-A13,Enterococcus durans FAM 19822 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S106-A13,Lactobacillus fermentum FAM 20347 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S107-A13,Lactobacillus paracasei FAM 18133.2 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S108-A13,Lactobacillus rhamnosus DSM 20021 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S117-A13,Propionibacterium freudenreichii FAM 15346 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S116-A13,Pediococcus acidilactici DSM 20284 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S115-A13,Lactococcus lactis subsp. cremoris FAM 23216 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S118-A13,Pediococcus stilesii DSM 18001 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S119-A13,Std_24 (10^8 c/ul) (2) ,Standard,100000000,Lbbrevi_g2037-3,Test,6.43771727135905,98586193.3978539,0.93,Pass,0.05,80.7418006848453,999,1
S120-A13,7 Mock 10^2 (preamp),Unknown,1,Lbbrevi_g2037-3,Test,21.6032636193048,4168.40513295544,0.82,Pass,0.05,81.6234619025855,999,1
S129-A13,Lactobacillus curvatus FAM 18731 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S128-A13,Lactobacillus brevis CCUG 33268 (2),Unknown,1,Lbbrevi_g2037-3,Test,14.4232374194208,490611.877087822,0.89,Pass,0.05,80.7026502580988,67.6865047258071,0.956428717076909
S127-A13,Enterococcus durans FAM 22256 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S130-A13,Lactobacillus helveticus DSM 20075 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S131-A13,Lactobacillus paracasei FAM 19331 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S132-A13,Lactobacillus rhamnosus FAM 19984 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S141-A13,Streptococcus thermophilus DSM 20617 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S140-A13,Pediococcus acidilactici FAM 13881 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S139-A13,Lactococcus lactis subsp. lactis ATCC 19435 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S142-A13,Streptococcus salivarius DSM 20560 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S143-A13,Std_24 (10^7 c/ul) (2),Standard,10000000,Lbbrevi_g2037-3,Test,9.6470508284323,11700989.4012791,0.91,Pass,0.05,80.6084751323379,999,1
S144-A13,8 Mock 10^1 (preamp),Unknown,1,Lbbrevi_g2037-3,Test,24.2530120156459,717.40525978599,0.97,Pass,0.05,81.3862287703047,999,1
S153-A13,Lactobacillus curvatus FAM 18867 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S152-A13,Lactobacillus brevis CCUG 48612 (2),Unknown,1,Lbbrevi_g2037-3,Test,14.1855039315915,574515.83597054,0.9,Pass,0.05,80.7136957569993,999,1
S151-A13,Enterococcus faecalis ATCC 19433 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S154-A13,Lactobacillus helveticus FAM 13019 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S155-A13,Lactobacillus paraplantarum DSM 10667 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S156-A13,Lactobacillus rhamnosus FAM 22674 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S165-A13,Streptococcus thermophilus FAM 10792 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S164-A13,Pediococcus acidilactici FAM 19158 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S163-A13,Lactococcus lactis subsp. lactis FAM 17950 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S166-A13,Acidipropionibacterium acidipropionici DSM 4900 (2),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
